Date,Open,High,Low,Close,Adj Close,Volume
2022-06-10,9.975000,9.980000,9.975000,9.980000,9.980000,3300
2022-06-13,10.000000,10.050000,10.000000,10.050000,10.050000,353500
2022-06-14,10.060000,10.120000,10.000000,10.120000,10.120000,9300
2022-06-15,10.050000,10.050000,10.000000,10.030000,10.030000,7100
2022-06-16,10.010000,10.020000,10.000000,10.015000,10.015000,6900
2022-06-17,10.020000,10.500000,10.020000,10.500000,10.500000,23400
2022-06-21,10.250000,10.330000,10.010000,10.010000,10.010000,4300
2022-06-22,10.010000,10.010000,10.010000,10.010000,10.010000,0
2022-06-23,10.060000,10.190000,10.000000,10.030000,10.030000,282400
2022-06-24,10.020000,10.030000,10.000000,10.000000,10.000000,600
2022-06-27,10.000000,10.000000,10.000000,10.000000,10.000000,0
2022-06-28,10.035000,10.045000,10.010000,10.045000,10.045000,3200
2022-06-29,10.010000,10.010000,10.010000,10.010000,10.010000,1500
2022-06-30,10.060000,10.060000,10.060000,10.060000,10.060000,500
2022-07-01,10.060000,10.060000,10.060000,10.060000,10.060000,0
2022-07-05,10.010000,10.010000,10.010000,10.010000,10.010000,100
2022-07-06,10.010000,10.025000,10.010000,10.010000,10.010000,3100
2022-07-07,10.010000,10.010000,10.010000,10.010000,10.010000,0
2022-07-08,10.010000,10.010000,10.010000,10.010000,10.010000,0
2022-07-11,10.030000,10.030000,10.030000,10.030000,10.030000,200
2022-07-12,10.040000,10.040000,10.040000,10.040000,10.040000,33700
2022-07-13,10.040000,10.040000,10.040000,10.040000,10.040000,1100
2022-07-14,10.080000,10.080000,10.080000,10.080000,10.080000,1600
2022-07-15,10.080000,10.080000,10.080000,10.080000,10.080000,0
2022-07-18,10.080000,10.080000,10.080000,10.080000,10.080000,0
2022-07-19,10.080000,10.080000,10.080000,10.080000,10.080000,0
2022-07-20,10.080000,10.080000,10.080000,10.080000,10.080000,0
2022-07-21,10.080000,10.080000,10.080000,10.080000,10.080000,0
2022-07-22,10.080000,10.080000,10.040000,10.040000,10.040000,1700
2022-07-25,10.220000,10.290000,10.220000,10.290000,10.290000,300
2022-07-26,10.290000,10.290000,10.290000,10.290000,10.290000,0
2022-07-27,10.080000,10.120000,10.070000,10.070000,10.070000,1800
2022-07-28,10.070000,10.070000,10.070000,10.070000,10.070000,75100
2022-07-29,10.070000,10.070000,10.070000,10.070000,10.070000,500
2022-08-01,10.070000,10.070000,10.070000,10.070000,10.070000,0
2022-08-02,10.070000,10.070000,10.070000,10.070000,10.070000,0
2022-08-03,10.070000,10.070000,10.070000,10.070000,10.070000,0
2022-08-04,10.070000,10.070000,10.070000,10.070000,10.070000,0
2022-08-05,10.070000,10.070000,10.070000,10.070000,10.070000,0
2022-08-08,10.070000,10.070000,10.070000,10.070000,10.070000,0
2022-08-09,10.070000,10.070000,10.070000,10.070000,10.070000,0
2022-08-10,10.070000,10.070000,10.070000,10.070000,10.070000,100
2022-08-11,10.070000,10.070000,10.070000,10.070000,10.070000,100
2022-08-12,10.070000,10.070000,10.070000,10.070000,10.070000,0
2022-08-15,10.070000,10.070000,10.070000,10.070000,10.070000,0
2022-08-16,10.100000,10.100000,10.100000,10.100000,10.100000,200
2022-08-17,10.100000,10.100000,10.100000,10.100000,10.100000,0
2022-08-18,10.100000,10.100000,10.100000,10.100000,10.100000,0
2022-08-19,10.100000,10.100000,10.100000,10.100000,10.100000,0
2022-08-22,10.110000,10.110000,10.110000,10.110000,10.110000,200
2022-08-23,10.110000,10.110000,10.110000,10.110000,10.110000,100
2022-08-24,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-08-25,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-08-26,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-08-29,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-08-30,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-08-31,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-09-01,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-09-02,10.110000,10.110000,10.110000,10.110000,10.110000,100
2022-09-06,10.030000,10.030000,10.030000,10.030000,10.030000,300
2022-09-07,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-08,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-09,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-12,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-13,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-14,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-15,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-16,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-19,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-20,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-21,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-22,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-23,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-26,10.030000,10.030000,10.030000,10.030000,10.030000,0
2022-09-27,10.080000,10.100000,10.080000,10.100000,10.100000,50000
2022-09-28,10.120000,10.120000,10.120000,10.120000,10.120000,200
2022-09-29,10.120000,10.120000,10.120000,10.120000,10.120000,0
2022-09-30,10.120000,10.120000,10.120000,10.120000,10.120000,26100
2022-10-03,10.120000,10.120000,10.120000,10.120000,10.120000,0
2022-10-04,10.110000,10.110000,10.109000,10.110000,10.110000,11200
2022-10-05,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-10-06,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-10-07,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-10-10,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-10-11,10.110000,10.110000,10.110000,10.110000,10.110000,0
2022-10-12,10.110000,10.110000,10.110000,10.110000,10.110000,100
2022-10-13,10.110000,10.110000,10.110000,10.110000,10.110000,100
2022-10-14,10.140000,10.140000,10.140000,10.140000,10.140000,300
2022-10-17,10.140000,10.140000,10.140000,10.140000,10.140000,0
2022-10-18,10.130000,10.130000,10.120000,10.130000,10.130000,11900
2022-10-19,10.130000,10.130000,10.130000,10.130000,10.130000,0
2022-10-20,10.130000,10.130000,10.130000,10.130000,10.130000,0
2022-10-21,10.130000,10.130000,10.130000,10.130000,10.130000,600
2022-10-24,10.160000,10.230000,10.160000,10.163000,10.163000,43000
2022-10-25,10.150000,10.150000,10.150000,10.150000,10.150000,3600
2022-10-26,10.160000,10.160000,10.150000,10.150000,10.150000,193200
2022-10-27,10.150000,10.150000,10.150000,10.150000,10.150000,0
2022-10-28,10.150000,10.150000,10.150000,10.150000,10.150000,92000
2022-10-31,10.150000,10.150000,10.150000,10.150000,10.150000,0
2022-11-01,10.150000,10.150000,10.150000,10.150000,10.150000,0
2022-11-02,10.150000,10.150000,10.150000,10.150000,10.150000,0
2022-11-03,10.150000,10.150000,10.150000,10.150000,10.150000,0
2022-11-04,10.150000,10.150000,10.150000,10.150000,10.150000,0
2022-11-07,10.150000,10.150000,10.150000,10.150000,10.150000,0
2022-11-08,10.150000,10.150000,10.150000,10.150000,10.150000,0
2022-11-09,10.150000,10.150000,10.150000,10.150000,10.150000,0
2022-11-10,10.160000,10.160000,10.160000,10.160000,10.160000,101200
2022-11-11,10.170000,10.170000,10.170000,10.170000,10.170000,1000
2022-11-14,10.170000,10.170000,10.170000,10.170000,10.170000,100
2022-11-15,10.170000,10.170000,10.170000,10.170000,10.170000,100
2022-11-16,10.170000,10.170000,10.170000,10.170000,10.170000,0
2022-11-17,10.170000,10.170000,10.170000,10.170000,10.170000,0
2022-11-18,10.170000,10.170000,10.170000,10.170000,10.170000,0
2022-11-21,10.170000,10.170000,10.170000,10.170000,10.170000,100
2022-11-22,10.180000,10.185000,10.180000,10.185000,10.185000,104700
2022-11-23,10.180000,10.180000,10.180000,10.180000,10.180000,2100
2022-11-25,10.180000,10.180000,10.180000,10.180000,10.180000,100
2022-11-28,10.180000,10.180000,10.180000,10.180000,10.180000,0
2022-11-29,10.180000,10.180000,10.180000,10.180000,10.180000,0
2022-11-30,10.180000,10.180000,10.180000,10.180000,10.180000,0
2022-12-01,10.190000,10.190000,10.190000,10.190000,10.190000,1000
2022-12-02,10.190000,10.190000,10.190000,10.190000,10.190000,0
2022-12-05,10.500000,10.500000,10.225000,10.280000,10.280000,600
2022-12-06,10.280000,10.280000,10.280000,10.280000,10.280000,0
2022-12-07,10.800000,10.800000,10.800000,10.800000,10.800000,200
2022-12-08,10.800000,10.800000,10.800000,10.800000,10.800000,0
2022-12-09,10.490000,10.490000,10.490000,10.490000,10.490000,400
2022-12-12,10.490000,10.490000,10.490000,10.490000,10.490000,0
2022-12-13,11.000000,11.000000,10.770000,10.770000,10.770000,700
2022-12-14,10.770000,10.770000,10.770000,10.770000,10.770000,100
2022-12-15,10.770000,10.770000,10.770000,10.770000,10.770000,0
2022-12-16,10.770000,10.770000,10.770000,10.770000,10.770000,0
2022-12-19,10.770000,10.770000,10.770000,10.770000,10.770000,0
2022-12-20,11.800000,11.800000,11.800000,11.800000,11.800000,100
2022-12-21,11.800000,11.800000,11.800000,11.800000,11.800000,0
2022-12-22,11.800000,11.800000,11.800000,11.800000,11.800000,100
2022-12-23,11.800000,11.800000,11.800000,11.800000,11.800000,0
2022-12-27,9.710000,9.710000,9.710000,9.710000,9.710000,200
2022-12-28,10.210000,10.500000,9.860000,10.210000,10.210000,167900
2022-12-29,10.220000,10.220000,10.210000,10.210000,10.210000,52900
2022-12-30,10.280000,10.280000,10.260000,10.260000,10.260000,331700
2023-01-03,10.260000,10.260000,10.260000,10.260000,10.260000,1400
2023-01-04,10.260000,10.260000,10.260000,10.260000,10.260000,0
2023-01-05,10.260000,10.350000,10.240000,10.270000,10.270000,20500
2023-01-06,10.270000,10.305000,10.210000,10.250000,10.250000,186300
2023-01-09,10.220000,10.300000,10.220000,10.300000,10.300000,1200
2023-01-10,10.300000,10.300000,10.300000,10.300000,10.300000,0
2023-01-11,10.262000,10.360000,10.262000,10.360000,10.360000,73000
2023-01-12,10.335000,10.810000,10.335000,10.380000,10.380000,46000
2023-01-13,10.360000,10.360000,10.360000,10.360000,10.360000,5000
2023-01-17,10.360000,10.365000,10.360000,10.365000,10.365000,1600
2023-01-18,10.365000,10.365000,10.365000,10.365000,10.365000,0
2023-01-19,10.360000,10.360000,10.330000,10.330000,10.330000,53200
2023-01-20,10.330000,10.330000,10.330000,10.330000,10.330000,0
2023-01-23,10.340000,10.490000,10.340000,10.340000,10.340000,1400
2023-01-24,10.340000,10.340000,10.340000,10.340000,10.340000,0
2023-01-25,10.340000,10.340000,10.340000,10.340000,10.340000,0
2023-01-26,10.360000,10.360000,10.330000,10.330000,10.330000,700
2023-01-27,10.350000,10.360000,10.350000,10.360000,10.360000,10200
2023-01-30,10.360000,10.360000,10.360000,10.360000,10.360000,100
2023-01-31,10.360000,10.360000,10.360000,10.360000,10.360000,0
2023-02-01,10.380000,10.380000,10.380000,10.380000,10.380000,700
2023-02-02,10.380000,10.380000,10.380000,10.380000,10.380000,0
2023-02-03,10.380000,10.380000,10.380000,10.380000,10.380000,0
